Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Travis Tritt,Here's a Quarter (Call Someone Who Cares),152640,0RdMBceHhBJLqNjObk1NPP,2M4Yt7oKGoYd0wqU44k4i2,USWB10902612
Randy Travis,Diggin' Up Bones,178973,6JdbV5DDltMVCyV0twmKwj,1pTuR132U5b4Rizal2Pr7m,USWB18600040
Deana Carter,Strawberry Wine,290466,3ODF56f90W3qxDqxHAUi3v,0aqrM7Fo3Ml66Kc5JAzmjt,USCN19600104
The Osborne Brothers,Rocky Top,160026,5QSiHPOYNCmpbwwMQyOGA6,6gM87haEMrst4Eqdobf98c,USEWC0773280
Steve Earle,Copperhead Road,269920,0VU5k3vCrpqDgUygMjiFYj,2UBTfUoLI07iRqGeUrwhZh,USMC18826253
Kip Moore,Beer Money,218146,61voPX1C71rhwynuLQyajo,2hJPr4lk7Q8SSvCVBl9fWM,USUM71201098
Florida Georgia Line,Get Your Shine On,222013,6s9ICeczYOfbHHIaSMq9jd,3b8QkneNDz4JHKKKlLgYZg,USUM71208066
Emerson Drive,I Should Be Sleeping,177000,28CnmZkM5CFp0ObTRQJeCw,1efrXlPhLKv7PvgUxVcqIS,USDW10110452
Florida Georgia Line,Cruise,208960,0i5el041vd6nxrGEU8QRxy,3b8QkneNDz4JHKKKlLgYZg,USUM71207991
Brad Paisley,Alcohol,291293,5CsAa6bVktZFqlfSKRPswX,13YmWQJFwgZrd4bf5IjMY4,USAN21000082
Duane Steele,Stuck On Your Love,210883,1Dvd7JfvvlyyiwILNeZKBv,50kD5UOKnak8BNCKkMP92e,USA370519004
Keith Urban,Days Go By,224629,2jwaErbghhcia4JqUYWz3g,0u2FHSq3ln94y5Q57xazwf,USCN10400100
Jerry Reed,East Bound and Down,166733,4ubYnxmt3qW3wZdqMZbqOh,3kvy8do7n0qVqvlNFS4yOF,USRN19500162
John Mellencamp,R.O.C.K. In The U.S.A. (A Salute To 60's Rock),174360,0lqfBvf1Gqmmt3l5Qeirlm,3lPQ2Fk5JOwGWAF3ORFCqH,USJM18500002
Keith Urban,Somebody Like You,323040,0b9djfiuDIMw1zKH6gV74g,0u2FHSq3ln94y5Q57xazwf,USCN10200137
The Chicks,Not Ready to Make Nice,237296,6LCEyZZHFF4ebF1Mike1s5,25IG9fa7cbdmCIy3OnuH57,USSM10601030
The Rankin Family,You Feel The Same Way Too,293853,1x8vMoaQdDmHoEug9iBwQ9,7hrI9fyRMBg7H34RVWvoZH,CAE159500117
Mary Chapin Carpenter,Down at the Twist and Shout,201893,76BuIHRNV8KDdrYveZBOOa,0qAmeOULjwn04k6jMMeDyr,USSM19911049
Mary Chapin Carpenter,Passionate Kisses,201906,4CzyLocgGmnRxSlHaKvYGB,0qAmeOULjwn04k6jMMeDyr,USSM19200394
Mary Chapin Carpenter,Shut Up and Kiss Me,221333,2JdhhL0CzxiAKCvEg9EeLf,0qAmeOULjwn04k6jMMeDyr,USSM19400843
Billy Ray Cyrus,"Ready, Set, Don't Go",228453,4SSUj4OC7giqpMNCqSQSCf,60rpJ9SgigSd16DOAG7GSa,USWD10733023
Mary Chapin Carpenter,I Feel Lucky,265666,6IItFqIHg6jHleKOYI7Aas,0qAmeOULjwn04k6jMMeDyr,USSM19200203
